"contentId
※空欄で構いません。特定の値を設定したい場合に入力してください。",title,slug,publishDate,content,eyecatch,category
,毎日のフルーツで爽やかさを加えて,everyday,2020-02-15T16:15+09:00,"フルーツには適度な甘みと酸味と爽やかさがあって、毎日食べても飽きません。パンやヨーグルトとの相性もばっちりです。朝食にたくさんのフルーツを取り入れてみると、いつの間にかたくさんのフルーツを食べるようになっていました。

フルーツの旬を活かす

野菜と同じようにフルーツにも旬があります。ただ、地域によって旬の時期には違いがありますので、居住地域の旬を押さえておくのがおすすめです。

早い時期に手に入る果物はラズベリーとブルーベリーです。これらの果物は生で食べることも、乾燥させてデザートとして調理することもできます。少し甘くて酸味があります。また、ベリーから作るブルーベリーワインもあります。 次はイチゴですが、今年の前半はイチゴジャムが新鮮です。火を通さずそのまま食べるのがおいしいです。

パンとの組み合わせもいろいろ試してみましたが、特にライ麦パンがとても気に入りました！　クリームとハチミツ、塩少々、バター少々に果物を加えるとペロッと食べられます。",(インポート非対応です),"参照先id1,参照先id2"
,スパイスの香りと刺激,spice2,2020-02-03T14:00+09:00,"食事をさらにおいしくしてくれるのがスパイスです。その香りと刺激は、単調な料理にも大きなアクセントを加えてくれます。フルーツに合うスパイスもあります。

適切な割合のスパイスを使用すると、料理に豊かな味とよりエキゾチックな味を与えることができます。

スパイスのブレンド

シナモンやカルダモンは一般的なスパイスブレンドですが、必ずしも多くのレシピに含まれているわけではありません。他の一般的なブレンドには、ブラックペッパーとブラックカルダモンを含んだものなどがあります。

スープやシチューはスパイスを組み合わせて調理されることが多く、スパイスをブレンドして調理されることもよくあります。

その他のスパイス

チリやネギもよく使われます。もっとスパイスを効かせたい場合は、コリアンダー、ローリエ、コショウ、クローブ、タイム、フェンネル、パセリなどの新鮮なスパイスを使ってみてください。

採れたてのスパイスはその香りも強烈です。",(インポート非対応です),"参照先id1,参照先id2,参照先id3"
,彩り鮮やかなオレンジの秘密,orange,2020-01-30T18:45+09:00,"遠目にもぱっと目につく鮮やかなオレンジ色。緑の木々の中でも、ショッピングセンターの一角でも、その色の鮮やかさは変わりません。オレンジ色にも細かな違いがあり、黄色よりだったり、ピンク味が強い種類もあります。

果実の色にも、黄色のもの、淡黄色のもの、オレンジ色のもの、緑色のものなどがあり、「柔らかい黄色」「柔らかいオレンジ」などと表現されることもあります。細かくは果実の種類によっても異なります。

色味の違いは味の違いにもつながっていて、その果物はとても甘い味がして、一部の人のお気に入りになっています。ほんのり柑橘系の香りもします。味は果物と果物と果物の組み合わせなのです。",,
,甘いものとフルーツの相性,cake,2020-01-25T22:15+09:00,"甘いデザートにはフルーツがよく合います。フルーツの爽やかな酸味が、甘いクリームやチョコレートとの相性バツグンだからです。パフェやケーキにも欠かせないものになっています。

ケーキを作るには、クリームと同量の砂糖を混ぜ、計量カップの大きさに合わせて計量し、お好みで新鮮なフルーツを加えてよく混ぜ、クリームで飾り付けます。お皿に盛って、甘いフルーツ、イチゴ、バナナ、ブラックベリー、オレンジ、さらにはカラントも添えるといいでしょう。

特定の果物はスライスして、上から下に 1 枚ずつ重ねながら並べて、ホイップクリームを挟んでいくなど、細かくきれいに飾るのもおすすめです。",,
,カップケーキを焼くときのちょっとしたコツ,cupcake,2020-01-16T15:30+09:00,"家で手軽に作れるお菓子の定番といえばカップケーキ。ホットケーキミックスを使うと、本当に手軽に作れます。ちょっとしたコツを覚えれば、いろいろなアレンジを加えるのも簡単です。

そんな家でおいしいカップケーキを作る方法をいくつか紹介します。

基本的なケーキでは、すでにミックスされたホットケーキミックスを手頃な価格でオンラインで見つけることができます。また、水で濡らした材料用の泡立て器（小麦粉、ベーキングパウダー、ベーキングソーダ）も必要です。どんな種類のホットケーキミックスでも、あなたが作っているレシピに合うでしょう。

手で混ぜる方法もあります。パワーがあればとても速くて、特別な道具はほとんど必要ありません。",,
,レモンがないときに代わりになるもの,lemon,2020-01-10T10:30+09:00,"レモンはいろいろな料理に使われます。ただ、なかなかレモンを常備しておくのは難しいものです。そんなときに代わりになるものはあるのでしょうか。

多くの国では、このタイプのレモンはレモン果汁として入手できます。できるだけ余計なものが入っていないものを選ぶとよいでしょう。地中海にはレモンの皮のような香りがする代替品もありますが、日本での入手は難しいです。

レモンの皮があればそれを使うのもおすすめです。レモンの皮は甘くてオレンジの皮に近いものがあります。オレンジの花を使ったレモンレシピもおすすめです。どちらも、ボトルタイプの果汁よりも香りが抜群です。",,
,色とりどりのぶどう,grape,2019-12-24T12:30+09:00,"ぶどうには多種多様な品種があり、その色合いもカラフルです。最近ではスイーツに活用される大粒な品種も増えてきました。新鮮なぶどうを購入して、自分のレシピと組み合わせてもいいと思います。

グレープ

グレープ種は、小さくて切れ味の良いブドウです。テーブルブドウとほぼ同じ風味ですが、サイズが小さいので少し甘めです。新鮮なものがおすすめです。

アロマグレープ

香りのよいブドウは、テーブルブドウより小さく、甘くてジューシーです。生食用のブドウよりもおいしいことがあります。食べやすい大きさに切っても美味しいです。",,
,チーズやパンといっしょに食べたい果物,eat,2019-12-10T15:30+09:00,"果物は甘いものとはもちろん、しょっぱいものとの相性も抜群です。チーズやパンといっしょに食べると、また違った味わいを楽しむことができます。

生の果物ではサラダが作れますし、そうでなくても新鮮に見える効果があります。フルーツを使ってパンなしでピザも作ることができます。

焼くのが好きな場合は、桃やブドウのような果物を使って味を引き立てるのもおすすめです。フルーツを使って焼くなら、メロンをスライスしてもいいかもしれません。パンやサンドイッチのトッピングに是非一度お試しください。",,
,穀物のバリエーション,variation,2019-12-03T11:00+09:00,"穀物のバリエーションは豊富です。お米や麦はもちろんのこと、トウモロコシや、キビ、アワ、ヒエなどもあります。

小麦は栄養価が高く、タンパク質や繊維に加え、多くのビタミンを含んでいます。種子は、タンパク質や炭水化物、繊維、ミネラルが豊富で、栄養価が高い穀物です。黒アワは、分解に強い細胞壁と炭水化物を持つ興味深い構造を持っています。

さらに、豆類は栄養価が高く、栄養価も高いうえ、必須アミノ酸、繊維、タンパク質を含んでいますので、様々な食品の製造に有用なのです。",,
,どうしても甘いものが欲しくなるとき,taste,2019-11-27T16:45+09:00,"ダイエットなどをしていても、どうしても甘いものが欲しくなるときがあります。どうしても、背徳感に溢れる食べ物が欲しくなるのです。本当に変な感じです。

これをもう少し簡単にしようとしています。まだまだダイエット中ですが、全体的には健康的に食事しています。２、３時間の沈黙の中で何かを食べるのは本当に幸せです。食べたいものは何でも食べますし、食べたくないものもあります。また何かを食べるのはちょっと刺激的なことでもあります。",,
